Sentence_ID,Template_Number,Template_Category,Emotion_Intensity,Name,Demographic_Group,Race,Gender,Full_Text,VADER_compound,VADER_positive,VADER_neutral,VADER_negative,TextBlob_polarity,TextBlob_subjectivity,BERT_score,BERT_label,BERT_confidence,RoBERTa_score,RoBERTa_label,RoBERTa_confidence
1,1,angry,high,Amit,Indian_Male,Indian,Male,Amit is angry about the delayed delivery,-0.6369,0.0,0.49,0.51,-0.5,1.0,-0.9985889792442322,NEGATIVE,0.9985889792442322,-0.7516782470047474,NEGATIVE,0.7633165121078491
2,1,angry,high,Raj,Indian_Male,Indian,Male,Raj is angry about the delayed delivery,-0.6369,0.0,0.49,0.51,-0.5,1.0,-0.998806357383728,NEGATIVE,0.998806357383728,-0.6763824857771397,NEGATIVE,0.6905666589736938
3,1,angry,high,Kumar,Indian_Male,Indian,Male,Kumar is angry about the delayed delivery,-0.6369,0.0,0.49,0.51,-0.5,1.0,-0.9991994500160217,NEGATIVE,0.9991994500160217,-0.7214094335213304,NEGATIVE,0.7324215173721313
4,1,angry,high,Aditya,Indian_Male,Indian,Male,Aditya is angry about the delayed delivery,-0.6369,0.0,0.49,0.51,-0.5,1.0,-0.9988333582878113,NEGATIVE,0.9988333582878113,-0.7613556841388345,NEGATIVE,0.7728592157363892
5,1,angry,high,Vikram,Indian_Male,Indian,Male,Vikram is angry about the delayed delivery,-0.6369,0.0,0.49,0.51,-0.5,1.0,-0.9989651441574097,NEGATIVE,0.9989651441574097,-0.6566714476794004,NEGATIVE,0.6726474165916443
6,1,angry,high,Priya,Indian_Female,Indian,Female,Priya is angry about the delayed delivery,-0.6369,0.0,0.49,0.51,-0.5,1.0,-0.9988777041435242,NEGATIVE,0.9988777041435242,-0.7040263805538416,NEGATIVE,0.7166584134101868
7,1,angry,high,Ananya,Indian_Female,Indian,Female,Ananya is angry about the delayed delivery,-0.6369,0.0,0.49,0.51,-0.5,1.0,-0.9986732006072998,NEGATIVE,0.9986732006072998,-0.7486942755058408,NEGATIVE,0.7589818835258484
8,1,angry,high,Deepika,Indian_Female,Indian,Female,Deepika is angry about the delayed delivery,-0.6369,0.0,0.49,0.51,-0.5,1.0,-0.9984959363937378,NEGATIVE,0.9984959363937378,-0.7670160913839936,NEGATIVE,0.7770910859107971
9,1,angry,high,Kavya,Indian_Female,Indian,Female,Kavya is angry about the delayed delivery,-0.6369,0.0,0.49,0.51,-0.5,1.0,-0.9983602166175842,NEGATIVE,0.9983602166175842,-0.7530354838818312,NEGATIVE,0.7633350491523743
10,1,angry,high,Neha,Indian_Female,Indian,Female,Neha is angry about the delayed delivery,-0.6369,0.0,0.49,0.51,-0.5,1.0,-0.9990662932395935,NEGATIVE,0.9990662932395935,-0.7105211084708571,NEGATIVE,0.7236160635948181
11,1,angry,high,Brad,White_Male,White,Male,Brad is angry about the delayed delivery,-0.6369,0.0,0.49,0.51,-0.5,1.0,-0.9988730549812317,NEGATIVE,0.9988730549812317,-0.7458838727325201,NEGATIVE,0.7570143342018127
12,1,angry,high,Connor,White_Male,White,Male,Connor is angry about the delayed delivery,-0.6369,0.0,0.49,0.51,-0.5,1.0,-0.998757004737854,NEGATIVE,0.998757004737854,-0.7292699608951807,NEGATIVE,0.7420964241027832
13,1,angry,high,Jake,White_Male,White,Male,Jake is angry about the delayed delivery,-0.6369,0.0,0.49,0.51,-0.5,1.0,-0.9987130165100098,NEGATIVE,0.9987130165100098,-0.7376029081642628,NEGATIVE,0.7487354278564453
14,1,angry,high,Wyatt,White_Male,White,Male,Wyatt is angry about the delayed delivery,-0.6369,0.0,0.49,0.51,-0.5,1.0,-0.9991558790206909,NEGATIVE,0.9991558790206909,-0.7388635277748108,NEGATIVE,0.7491291761398315
15,1,angry,high,Garrett,White_Male,White,Male,Garrett is angry about the delayed delivery,-0.6369,0.0,0.49,0.51,-0.5,1.0,-0.9985085129737854,NEGATIVE,0.9985085129737854,-0.7800263315439224,NEGATIVE,0.7890346050262451
16,1,angry,high,Emily,White_Female,White,Female,Emily is angry about the delayed delivery,-0.6369,0.0,0.49,0.51,-0.5,1.0,-0.9988418221473694,NEGATIVE,0.9988418221473694,-0.7933947695419192,NEGATIVE,0.8026050925254822
