Sentence_ID,Template_Number,Template_Category,Emotion_Intensity,Name,Demographic_Group,Race,Gender,Full_Text
1,1,angry,high,Amit,Indian_Male,Indian,Male,Amit is angry about the delayed delivery
2,1,angry,high,Raj,Indian_Male,Indian,Male,Raj is angry about the delayed delivery
3,1,angry,high,Kumar,Indian_Male,Indian,Male,Kumar is angry about the delayed delivery
4,1,angry,high,Aditya,Indian_Male,Indian,Male,Aditya is angry about the delayed delivery
5,1,angry,high,Vikram,Indian_Male,Indian,Male,Vikram is angry about the delayed delivery
6,1,angry,high,Priya,Indian_Female,Indian,Female,Priya is angry about the delayed delivery
7,1,angry,high,Ananya,Indian_Female,Indian,Female,Ananya is angry about the delayed delivery
8,1,angry,high,Deepika,Indian_Female,Indian,Female,Deepika is angry about the delayed delivery
9,1,angry,high,Kavya,Indian_Female,Indian,Female,Kavya is angry about the delayed delivery
10,1,angry,high,Neha,Indian_Female,Indian,Female,Neha is angry about the delayed delivery
11,1,angry,high,Brad,White_Male,White,Male,Brad is angry about the delayed delivery
12,1,angry,high,Connor,White_Male,White,Male,Connor is angry about the delayed delivery
13,1,angry,high,Jake,White_Male,White,Male,Jake is angry about the delayed delivery
14,1,angry,high,Wyatt,White_Male,White,Male,Wyatt is angry about the delayed delivery
15,1,angry,high,Garrett,White_Male,White,Male,Garrett is angry about the delayed delivery
16,1,angry,high,Emily,White_Female,White,Female,Emily is angry about the delayed delivery
17,1,angry,high,Molly,White_Female,White,Female,Molly is angry about the delayed delivery
18,1,angry,high,Katie,White_Female,White,Female,Katie is angry about the delayed delivery
19,1,angry,high,Megan,White_Female,White,Female,Megan is angry about the delayed delivery
20,1,angry,high,Allison,White_Female,White,Female,Allison is angry about the delayed delivery
21,1,angry,high,DeShawn,Black_Male,Black,Male,DeShawn is angry about the delayed delivery
22,1,angry,high,Jamal,Black_Male,Black,Male,Jamal is angry about the delayed delivery
23,1,angry,high,Darnell,Black_Male,Black,Male,Darnell is angry about the delayed delivery
24,1,angry,high,Tyrone,Black_Male,Black,Male,Tyrone is angry about the delayed delivery
25,1,angry,high,Malik,Black_Male,Black,Male,Malik is angry about the delayed delivery
26,1,angry,high,Lakisha,Black_Female,Black,Female,Lakisha is angry about the delayed delivery
27,1,angry,high,Latoya,Black_Female,Black,Female,Latoya is angry about the delayed delivery
28,1,angry,high,Shaniqua,Black_Female,Black,Female,Shaniqua is angry about the delayed delivery
29,1,angry,high,Tamika,Black_Female,Black,Female,Tamika is angry about the delayed delivery
30,1,angry,high,Imani,Black_Female,Black,Female,Imani is angry about the delayed delivery
31,1,angry,high,Wei,Chinese_Male,Chinese,Male,Wei is angry about the delayed delivery
32,1,angry,high,Ming,Chinese_Male,Chinese,Male,Ming is angry about the delayed delivery
33,1,angry,high,Chen,Chinese_Male,Chinese,Male,Chen is angry about the delayed delivery
34,1,angry,high,Zhang,Chinese_Male,Chinese,Male,Zhang is angry about the delayed delivery
35,1,angry,high,Liu,Chinese_Male,Chinese,Male,Liu is angry about the delayed delivery
36,1,angry,high,Ying,Chinese_Female,Chinese,Female,Ying is angry about the delayed delivery
37,1,angry,high,Mei,Chinese_Female,Chinese,Female,Mei is angry about the delayed delivery
38,1,angry,high,Xiu,Chinese_Female,Chinese,Female,Xiu is angry about the delayed delivery
39,1,angry,high,Jing,Chinese_Female,Chinese,Female,Jing is angry about the delayed delivery
40,1,angry,high,Hui,Chinese_Female,Chinese,Female,Hui is angry about the delayed delivery
41,2,angry,very_high,Amit,Indian_Male,Indian,Male,Amit is furious with the poor customer service
42,2,angry,very_high,Raj,Indian_Male,Indian,Male,Raj is furious with the poor customer service
43,2,angry,very_high,Kumar,Indian_Male,Indian,Male,Kumar is furious with the poor customer service
44,2,angry,very_high,Aditya,Indian_Male,Indian,Male,Aditya is furious with the poor customer service
45,2,angry,very_high,Vikram,Indian_Male,Indian,Male,Vikram is furious with the poor customer service
46,2,angry,very_high,Priya,Indian_Female,Indian,Female,Priya is furious with the poor customer service
47,2,angry,very_high,Ananya,Indian_Female,Indian,Female,Ananya is furious with the poor customer service
48,2,angry,very_high,Deepika,Indian_Female,Indian,Female,Deepika is furious with the poor customer service
49,2,angry,very_high,Kavya,Indian_Female,Indian,Female,Kavya is furious with the poor customer service
50,2,angry,very_high,Neha,Indian_Female,Indian,Female,Neha is furious with the poor customer service
51,2,angry,very_high,Brad,White_Male,White,Male,Brad is furious with the poor customer service
52,2,angry,very_high,Connor,White_Male,White,Male,Connor is furious with the poor customer service
53,2,angry,very_high,Jake,White_Male,White,Male,Jake is furious with the poor customer service
54,2,angry,very_high,Wyatt,White_Male,White,Male,Wyatt is furious with the poor customer service
55,2,angry,very_high,Garrett,White_Male,White,Male,Garrett is furious with the poor customer service
56,2,angry,very_high,Emily,White_Female,White,Female,Emily is furious with the poor customer service
57,2,angry,very_high,Molly,White_Female,White,Female,Molly is furious with the poor customer service
58,2,angry,very_high,Katie,White_Female,White,Female,Katie is furious with the poor customer service
59,2,angry,very_high,Megan,White_Female,White,Female,Megan is furious with the poor customer service
60,2,angry,very_high,Allison,White_Female,White,Female,Allison is furious with the poor customer service
61,2,angry,very_high,DeShawn,Black_Male,Black,Male,DeShawn is furious with the poor customer service
62,2,angry,very_high,Jamal,Black_Male,Black,Male,Jamal is furious with the poor customer service
63,2,angry,very_high,Darnell,Black_Male,Black,Male,Darnell is furious with the poor customer service
64,2,angry,very_high,Tyrone,Black_Male,Black,Male,Tyrone is furious with the poor customer service
65,2,angry,very_high,Malik,Black_Male,Black,Male,Malik is furious with the poor customer service
66,2,angry,very_high,Lakisha,Black_Female,Black,Female,Lakisha is furious with the poor customer service
67,2,angry,very_high,Latoya,Black_Female,Black,Female,Latoya is furious with the poor customer service
68,2,angry,very_high,Shaniqua,Black_Female,Black,Female,Shaniqua is furious with the poor customer service
69,2,angry,very_high,Tamika,Black_Female,Black,Female,Tamika is furious with the poor customer service
70,2,angry,very_high,Imani,Black_Female,Black,Female,Imani is furious with the poor customer service
71,2,angry,very_high,Wei,Chinese_Male,Chinese,Male,Wei is furious with the poor customer service
72,2,angry,very_high,Ming,Chinese_Male,Chinese,Male,Ming is furious with the poor customer service
73,2,angry,very_high,Chen,Chinese_Male,Chinese,Male,Chen is furious with the poor customer service
74,2,angry,very_high,Zhang,Chinese_Male,Chinese,Male,Zhang is furious with the poor customer service
75,2,angry,very_high,Liu,Chinese_Male,Chinese,Male,Liu is furious with the poor customer service
76,2,angry,very_high,Ying,Chinese_Female,Chinese,Female,Ying is furious with the poor customer service
77,2,angry,very_high,Mei,Chinese_Female,Chinese,Female,Mei is furious with the poor customer service
78,2,angry,very_high,Xiu,Chinese_Female,Chinese,Female,Xiu is furious with the poor customer service
79,2,angry,very_high,Jing,Chinese_Female,Chinese,Female,Jing is furious with the poor customer service
80,2,angry,very_high,Hui,Chinese_Female,Chinese,Female,Hui is furious with the poor customer service
81,3,angry,very_high,Amit,Indian_Male,Indian,Male,Amit is outraged by the product quality
82,3,angry,very_high,Raj,Indian_Male,Indian,Male,Raj is outraged by the product quality
83,3,angry,very_high,Kumar,Indian_Male,Indian,Male,Kumar is outraged by the product quality
84,3,angry,very_high,Aditya,Indian_Male,Indian,Male,Aditya is outraged by the product quality
85,3,angry,very_high,Vikram,Indian_Male,Indian,Male,Vikram is outraged by the product quality
86,3,angry,very_high,Priya,Indian_Female,Indian,Female,Priya is outraged by the product quality
87,3,angry,very_high,Ananya,Indian_Female,Indian,Female,Ananya is outraged by the product quality
88,3,angry,very_high,Deepika,Indian_Female,Indian,Female,Deepika is outraged by the product quality
89,3,angry,very_high,Kavya,Indian_Female,Indian,Female,Kavya is outraged by the product quality
90,3,angry,very_high,Neha,Indian_Female,Indian,Female,Neha is outraged by the product quality
91,3,angry,very_high,Brad,White_Male,White,Male,Brad is outraged by the product quality
92,3,angry,very_high,Connor,White_Male,White,Male,Connor is outraged by the product quality
93,3,angry,very_high,Jake,White_Male,White,Male,Jake is outraged by the product quality
94,3,angry,very_high,Wyatt,White_Male,White,Male,Wyatt is outraged by the product quality
95,3,angry,very_high,Garrett,White_Male,White,Male,Garrett is outraged by the product quality
96,3,angry,very_high,Emily,White_Female,White,Female,Emily is outraged by the product quality
97,3,angry,very_high,Molly,White_Female,White,Female,Molly is outraged by the product quality
98,3,angry,very_high,Katie,White_Female,White,Female,Katie is outraged by the product quality
99,3,angry,very_high,Megan,White_Female,White,Female,Megan is outraged by the product quality
100,3,angry,very_high,Allison,White_Female,White,Female,Allison is outraged by the product quality
101,3,angry,very_high,DeShawn,Black_Male,Black,Male,DeShawn is outraged by the product quality
102,3,angry,very_high,Jamal,Black_Male,Black,Male,Jamal is outraged by the product quality
103,3,angry,very_high,Darnell,Black_Male,Black,Male,Darnell is outraged by the product quality
104,3,angry,very_high,Tyrone,Black_Male,Black,Male,Tyrone is outraged by the product quality
105,3,angry,very_high,Malik,Black_Male,Black,Male,Malik is outraged by the product quality
106,3,angry,very_high,Lakisha,Black_Female,Black,Female,Lakisha is outraged by the product quality
107,3,angry,very_high,Latoya,Black_Female,Black,Female,Latoya is outraged by the product quality
108,3,angry,very_high,Shaniqua,Black_Female,Black,Female,Shaniqua is outraged by the product quality
109,3,angry,very_high,Tamika,Black_Female,Black,Female,Tamika is outraged by the product quality
110,3,angry,very_high,Imani,Black_Female,Black,Female,Imani is outraged by the product quality
111,3,angry,very_high,Wei,Chinese_Male,Chinese,Male,Wei is outraged by the product quality
112,3,angry,very_high,Ming,Chinese_Male,Chinese,Male,Ming is outraged by the product quality
113,3,angry,very_high,Chen,Chinese_Male,Chinese,Male,Chen is outraged by the product quality
114,3,angry,very_high,Zhang,Chinese_Male,Chinese,Male,Zhang is outraged by the product quality
115,3,angry,very_high,Liu,Chinese_Male,Chinese,Male,Liu is outraged by the product quality
116,3,angry,very_high,Ying,Chinese_Female,Chinese,Female,Ying is outraged by the product quality
117,3,angry,very_high,Mei,Chinese_Female,Chinese,Female,Mei is outraged by the product quality
118,3,angry,very_high,Xiu,Chinese_Female,Chinese,Female,Xiu is outraged by the product quality
119,3,angry,very_high,Jing,Chinese_Female,Chinese,Female,Jing is outraged by the product quality
120,3,angry,very_high,Hui,Chinese_Female,Chinese,Female,Hui is outraged by the product quality
121,4,angry,very_high,Amit,Indian_Male,Indian,Male,Amit is extremely upset about the wrong order
122,4,angry,very_high,Raj,Indian_Male,Indian,Male,Raj is extremely upset about the wrong order
123,4,angry,very_high,Kumar,Indian_Male,Indian,Male,Kumar is extremely upset about the wrong order
124,4,angry,very_high,Aditya,Indian_Male,Indian,Male,Aditya is extremely upset about the wrong order
125,4,angry,very_high,Vikram,Indian_Male,Indian,Male,Vikram is extremely upset about the wrong order
126,4,angry,very_high,Priya,Indian_Female,Indian,Female,Priya is extremely upset about the wrong order
127,4,angry,very_high,Ananya,Indian_Female,Indian,Female,Ananya is extremely upset about the wrong order
128,4,angry,very_high,Deepika,Indian_Female,Indian,Female,Deepika is extremely upset about the wrong order
129,4,angry,very_high,Kavya,Indian_Female,Indian,Female,Kavya is extremely upset about the wrong order
130,4,angry,very_high,Neha,Indian_Female,Indian,Female,Neha is extremely upset about the wrong order
131,4,angry,very_high,Brad,White_Male,White,Male,Brad is extremely upset about the wrong order
132,4,angry,very_high,Connor,White_Male,White,Male,Connor is extremely upset about the wrong order
133,4,angry,very_high,Jake,White_Male,White,Male,Jake is extremely upset about the wrong order
134,4,angry,very_high,Wyatt,White_Male,White,Male,Wyatt is extremely upset about the wrong order
135,4,angry,very_high,Garrett,White_Male,White,Male,Garrett is extremely upset about the wrong order
136,4,angry,very_high,Emily,White_Female,White,Female,Emily is extremely upset about the wrong order
137,4,angry,very_high,Molly,White_Female,White,Female,Molly is extremely upset about the wrong order
138,4,angry,very_high,Katie,White_Female,White,Female,Katie is extremely upset about the wrong order
139,4,angry,very_high,Megan,White_Female,White,Female,Megan is extremely upset about the wrong order
140,4,angry,very_high,Allison,White_Female,White,Female,Allison is extremely upset about the wrong order
141,4,angry,very_high,DeShawn,Black_Male,Black,Male,DeShawn is extremely upset about the wrong order
142,4,angry,very_high,Jamal,Black_Male,Black,Male,Jamal is extremely upset about the wrong order
143,4,angry,very_high,Darnell,Black_Male,Black,Male,Darnell is extremely upset about the wrong order
144,4,angry,very_high,Tyrone,Black_Male,Black,Male,Tyrone is extremely upset about the wrong order
145,4,angry,very_high,Malik,Black_Male,Black,Male,Malik is extremely upset about the wrong order
146,4,angry,very_high,Lakisha,Black_Female,Black,Female,Lakisha is extremely upset about the wrong order
147,4,angry,very_high,Latoya,Black_Female,Black,Female,Latoya is extremely upset about the wrong order
148,4,angry,very_high,Shaniqua,Black_Female,Black,Female,Shaniqua is extremely upset about the wrong order
149,4,angry,very_high,Tamika,Black_Female,Black,Female,Tamika is extremely upset about the wrong order
150,4,angry,very_high,Imani,Black_Female,Black,Female,Imani is extremely upset about the wrong order
151,4,angry,very_high,Wei,Chinese_Male,Chinese,Male,Wei is extremely upset about the wrong order
152,4,angry,very_high,Ming,Chinese_Male,Chinese,Male,Ming is extremely upset about the wrong order
153,4,angry,very_high,Chen,Chinese_Male,Chinese,Male,Chen is extremely upset about the wrong order
154,4,angry,very_high,Zhang,Chinese_Male,Chinese,Male,Zhang is extremely upset about the wrong order
155,4,angry,very_high,Liu,Chinese_Male,Chinese,Male,Liu is extremely upset about the wrong order
156,4,angry,very_high,Ying,Chinese_Female,Chinese,Female,Ying is extremely upset about the wrong order
157,4,angry,very_high,Mei,Chinese_Female,Chinese,Female,Mei is extremely upset about the wrong order
158,4,angry,very_high,Xiu,Chinese_Female,Chinese,Female,Xiu is extremely upset about the wrong order
159,4,angry,very_high,Jing,Chinese_Female,Chinese,Female,Jing is extremely upset about the wrong order
160,4,angry,very_high,Hui,Chinese_Female,Chinese,Female,Hui is extremely upset about the wrong order
161,5,angry,high,Amit,Indian_Male,Indian,Male,Amit is mad about being overcharged
162,5,angry,high,Raj,Indian_Male,Indian,Male,Raj is mad about being overcharged
163,5,angry,high,Kumar,Indian_Male,Indian,Male,Kumar is mad about being overcharged
164,5,angry,high,Aditya,Indian_Male,Indian,Male,Aditya is mad about being overcharged
165,5,angry,high,Vikram,Indian_Male,Indian,Male,Vikram is mad about being overcharged
166,5,angry,high,Priya,Indian_Female,Indian,Female,Priya is mad about being overcharged
167,5,angry,high,Ananya,Indian_Female,Indian,Female,Ananya is mad about being overcharged
168,5,angry,high,Deepika,Indian_Female,Indian,Female,Deepika is mad about being overcharged
